TROCA DE TURNO 2026;;;;META  + ACUMULADO;SEP. TURNO A;SEP. TURNO B;SEP. TURNO C;SEP. TURNO D;FAT GM;FAT FM;FAT TRANSF.;FAT CACAU;FAT FOB;FAT GRANEL
;;;;1053423,99;2685420,144;2301731,58;103,835,00;11648187,41;37.991,03;82.732,00;0,00;1.750,50;0,00;26.150,00
;;;;;;;;;;;;;;
;;;;EQUIPAMENTO PARADO;;NF COM ERRO;CARRO EMBARCADO;;SEP GM;SEP FM;SEP TRANSF.;SEP CACAU;SEP FOB;
;;;;;;;;;43.796,62;82.732,00;0,00;1.246,00;0,00;
;;;;8,00;;0,00;8;;;;;;;
DATA;TURNO;RESP TURNO;PROGRAMAÇÃO;ROTA;MEDIDA;PLANEJADO;Executado;PERCENTUAL REALIZADO;PENDENCIAS;VOLUME FATURADO;TRANSPORTADFORA;FATURAMENTO;EMBARQUE;Coluna2
20/07/2026;A;TATIANE;GM;SP CAP / INT;POSIÇÃO;43127;43127;100%;;;SMARTLOG;REALIZADO;REALIZADO;FATURADO 5.105 SMT001 E 002DI- FATURAR E CONFERIR SMT005DI SEPARADO NA RUA 13 E GERAR DEMAIS CARROS DO DI SAMRTLOG
20/07/2026;A;TATIANE;FM;FM;TONS;54022;54022;100%;;;EPEEDYLOG;REALIZADO;REALIZADO;FATURADO - CARREGADO SIENA - PANDURATA FATURADO- EDIFARNEI FECHAR PESO E CARREGAR
20/07/2026;A;TATIANE;FOB;PROPRIO;TONS;51327;51327;100%;;;PROPRIO;REALIZADO;REALIZADO;FATURADO DISPAN RECIFE DO DIA 19/07 - MOTORISTA NA PORTARIA - PRODUPAN GERADO 20/07 - SEPARAR
20/07/2026;A;TATIANE;SEP. BR15;BR15;TONS;4889;4889;100%;;;SMARTLOG;REALIZADO;REALIZADO;CACAU FATURADO
20/07/2026;A;TATIANE;FM;FM;TONS;12000;12000;100%;;;JSL;REALIZADO;REALIZADO;GRANEL MAGUN DESCER PARA PESAR -  EMAIL DE LACRES ENVIADO
20/07/2026;A;TATIANE;TRANSF. MACEIO;NORDESTE;TONS;22648;22648;100%;;;EPEEDYLOG;REALIZADO;REALIZADO;EXPEDIDO 
20/07/2026;A;TATIANE;REC. MACEIO;NORDESTE;TONS;15000;15000;100%;;;EPEEDYLOG;REALIZADO;REALIZADO;FALTA DAR ENTRADA NAS NOTAS RECEBIMENTO MACEIO - ESTA NO RUBY - 21 PALETES
20/07/2026;B;THIAGO;GM;MG;TONS;11856;11856;100%;;;;REALIZADO;REALIZADO;SEPARADO FALTA CONFERENCIA
20/07/2026;B;THIAGO;GM;AGENDAS SMART;TONS;5825;5825;100%;;;SMARTLOG;REALIZADO;REALIZADO;SMT004DI / SMT006DI
20/07/2026;B;THIAGO;FOB;PROPRIO;TONS;69065;69065;100%;;;;REALIZADO;REALIZADO;PRODUPAN / LUZIA MEIRE / BIBERFOODS 
20/07/2026;B;THIAGO;FLOOR;PRODUÇÃO;PAL;68;68;100%;;;;REALIZADO;REALIZADO;
20/07/2026;B;THIAGO;REC. MACEIO;MB0A;PAL;30;30;100%;;;;REALIZADO;REALIZADO;MOTO: PAULO MARCOS DESCARREGAR E CARREGAR
20/07/2026;B;THIAGO;GRANEL;PESAR;LIQUIDO;12000;12000;100%;;;JSL;REALIZADO;REALIZADO;GRANEL MAGUN DESCER PARA PESAR -  EMAIL DE LACRES ENVIADO PENDENCIA DE CREDITO
20/07/2026;B;THIAGO;FM;PROPRIO;TONS;28054;28054;100%;;;EPEEDYLOG;REALIZADO;REALIZADO;PANDURATA
20/07/2026;B;THIAGO;GM;RJ;TONS;14428;14428;100%;;;OMEGA X;REALIZADO;REALIZADO;EMBARCADO
20/07/2026;B;THIAGO;GRANEL;PESAR;LIQUIDO;23780;23780;100%;;;JSL;REALIZADO;REALIZADO;GRANEL BAUDUCCO CARREGADO FALTA PESAGEM
21/07/2026;A;TATIANE;GRANEL;PESAR;LIQUIDO;40730;40730;100%;;;JSL;REALIZADO;REALIZADO;GRANEL BAUDUCCO E MAGNUN FATURADOS E EXPEDIDOS
21/07/2026;A;TATIANE;GM;SP CAP / INT;TONS;10602;10602;100%;;;;REALIZADO;REALIZADO;
21/07/2026;A;TATIANE;FM;FM;TONS;13508;13508;100%;;;;REALIZADO;REALIZADO;SÃO DUAS TRANSPORTADORAS SMART E SPEEDY - FATURADO PERFETTO E CPQ
21/07/2026;A;TATIANE;SEP. BR15;BR15;TONS;40776;40776;100%;;;SMARTLOG;REALIZADO;REALIZADO;EXPEDIDO PARCIAL FOB
21/07/2026;A;TATIANE;FOB;PROPRIO;TONS;86975;86975;100%;;;PROPRIO;REALIZADO;REALIZADO;
21/07/2026;A;TATIANE;EXPORTAÇÃO;EXPORTAÇÃO;TONS;8377;8377;100%;;;PROPRIO;REALIZADO;REALIZADO;EXPORTAÇÃO UNPAR EXPEDIDA
21/07/2026;A;TATIANE;GM;MG;TONS;11856;11856;100%;;;BORA;REALIZADO;REALIZADO;MOTORISTA ANTONIO - NA PORTARIA
21/07/2026;A;TATIANE;REC. IMPORTADO;EXTREMA;TONS;20036;20036;100%;;;D2;REALIZADO;REALIZADO;FALTA FAZER ENTRADA NF 1656
21/07/2026;A;TATIANE;GRANEL;PESAR;TONS;12000;12000;100%;;;JSL;REALIZADO;REALIZADO;MAGNUM- AGUA QUENTE, PESAR PARA FATURAR
21/07/2026;B;THIAGO;GM;SP CAP / INT;TONS;4837;4837;100%;;;;REALIZADO;REALIZADO;SMART008DI + SMART010DI
21/07/2026;B;THIAGO;GRANEL;PESAR;LIQUIDO;7560;7560;100%;;;JSL;REALIZADO;REALIZADO;Granel MAGNUM
21/07/2026;B;THIAGO;FOB;SP CAP / INT;TONS;15214;15214;100%;;;PROPRIO;REALIZADO;REALIZADO;DISTRIBUIDORA IMPORTADORA MOT> WELLINTON
21/07/2026;B;THIAGO;FM;FM;TONS;51329;51329;100%;;;EPEEDYLOG;REALIZADO;REALIZADO;PANDURATA
21/07/2026;B;THIAGO;REC. MACEIO;MB0A;PAL;28;28;100%;;;EPEEDYLOG;REALIZADO;REALIZADO;MACEIO ENTRADA REALIZADA
21/07/2026;B;THIAGO;REC. BR15;BR15;PAL;6;6;100%;;;;REALIZADO;REALIZADO;CACAU ENREADA REALIZADA MOTORISTA WALTER
21/07/2026;B;THIAGO;FLOOR;PRODUÇÃO;PAL;68;68;100%;;;;REALIZADO;REALIZADO;
21/07/2026;B;THIAGO;GM;SUL;TONS;24,039;24,039;100%;;;RENOVAÇÃO;PARCIAL;PENDENTE;RS / PR - JÁ FATURADO - SC - FALTA FATURAR
22/07/2026;B;THIAGO;SMT001CA;SP CAP / INT;TONS;2825;2825;100%;;;SMARTLOG;REALIZADO;PENDENTE;
22/07/2026;C;ADIB;SMT001MACPAN;SP CAP / INT;TONS;13,331;13,331;100%;;;SMARTLOG;REALIZADO;PENDENTE;SEPARADO E FATURADO - AGUARDANDO CARRO
22/07/2026;B;THIAGO;SMT002CA;SP CAP / INT;TONS;1780;1780;100%;;;SMARTLOG;REALIZADO;PENDENTE;
22/07/2026;B;THIAGO;SMT003CA;SP CAP / INT;TONS;1978;1978;100%;;;SMARTLOG;REALIZADO;PENDENTE;
22/07/2026;B;THIAGO;SMT004CA;SP CAP / INT;TONS;4689;4689;100%;;;SMARTLOG;REALIZADO;PENDENTE;
22/07/2026;C;ADIB;GM;SP INT;TONS;21,954;21,954;100%;;;SMARTLOG;PENDENTE;PENDENTE;SEPARADO E CONFERIDO - EMBARQUE 24/07
22/07/2026;C;ADIB;FOB;PROPRIO;TONS;14,366;14,366;100%;;;SMARTLOG;PENDENTE;REALIZADO;CARREGAMENTO DISTRIB IMPORTADORA
22/07/2026;C;ADIB;FOB;PROPRIO;TONS;4,28;4,28;100%;;;SMARTLOG;REALIZADO;PENDENTE;SEPARADO E FATURADO - CARRO NO PATIO - FALTA CARREGAR
22/07/2026;C;ADIB;FOB;PROPRIO;TONS;18,976;18,976;100%;;;PROPRIO;REALIZADO;PENDENTE;OESA- FATURADO - CARRO NO PATIO - FALTA CARREGAR
22/07/2026;D;ADAO;GM;C.OESTE/ES/NORTE;TONS;17960;17960;100%;;;TAFF;PENDENTE;PENDENTE;co separado falta conferir norte fata separ ots geradas
22/07/2026;C;ADIB;GM;C.OESTE/ES/NORTE;TONS;19610;19610;100%;;;;;;
23/07/2026;C;ADIB;GM;SMT001BRU;TONS;637;637;100%;;;SMARTLOG;REALIZADO;PENDENTE;SEPARADO E FATURADO - AGUARDANDO CARRO
23/07/2026;C;ADIB;GM;SMT001DINIZ;TONS;1,773;1,773;100%;;;SMARTLOG;REALIZADO;PENDENTE;SEPARADO E FATURADO - AGUARDANDO CARRO
23/07/2026;C;ADIB;GM;SMT001RIBER;TONS;1,695;1,695;100%;;;SMARTLOG;REALIZADO;PENDENTE;SEPARADO E FATURADO - AGUARDANDO CARRO
23/07/2026;D;ADAO;GM;SMT003DI;TONS;11893;11893;100%;;;SMARTLOG;PENDENTE;PENDENTE;
22/07/2026;D;ADAO;SEP. CACAU;BR15;TONS;19782;19782;100%;;;SMARTLOG;PENDENTE;PENDENTE;
