LINHA DO CSV ORIGINAL;ID NA PLANILHA;CAMPO;VALOR ORIGINAL;VALOR CORRIGIDO
;;REGRA;valores em kg (>= 100) na medida TONS;"convertidos para toneladas (÷1000); valores < 100 mantidos (já estavam em t)"
;;REGRA;medida TONS / LIQUIDO / PAL;padronizada para TON / TON / PALETE
8;TT-00001;MEDIDA;POSIÇÃO;TON
9;TT-00002;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
10;TT-00003;TRANSPORTADORA;PROPRIO;PRÓPRIO
11;TT-00004;PROGRAMAÇÃO;SEP. BR15;BR15
13;TT-00006;PROGRAMAÇÃO;TRANSF. MACEIO;TRANSFERÊNCIA
13;TT-00006;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
14;TT-00007;PROGRAMAÇÃO;REC. MACEIO;RECEBIMENTO
14;TT-00007;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
19;TT-00012;PROGRAMAÇÃO;REC. MACEIO;RECEBIMENTO
20;TT-00013;MEDIDA;LIQUIDO;TON
21;TT-00014;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
23;TT-00016;MEDIDA;LIQUIDO;TON
24;TT-00017;MEDIDA;LIQUIDO;TON
27;TT-00020;PROGRAMAÇÃO;SEP. BR15;BR15
28;TT-00021;TRANSPORTADORA;PROPRIO;PRÓPRIO
29;TT-00022;TRANSPORTADORA;PROPRIO;PRÓPRIO
31;TT-00024;PROGRAMAÇÃO;REC. IMPORTADO;RECEBIMENTO
34;TT-00027;MEDIDA;LIQUIDO;TON
35;TT-00028;TRANSPORTADORA;PROPRIO;PRÓPRIO
36;TT-00029;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
37;TT-00030;PROGRAMAÇÃO;REC. MACEIO;RECEBIMENTO
37;TT-00030;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
38;TT-00031;PROGRAMAÇÃO;REC. BR15;RECEBIMENTO
41;TT-00034;PROGRAMAÇÃO;SMT001CA;GM
42;TT-00035;PROGRAMAÇÃO;SMT001MACPAN;GM
43;TT-00036;PROGRAMAÇÃO;SMT002CA;GM
44;TT-00037;PROGRAMAÇÃO;SMT003CA;GM
45;TT-00038;PROGRAMAÇÃO;SMT004CA;GM
49;TT-00042;TRANSPORTADORA;PROPRIO;PRÓPRIO
56;TT-00049;PROGRAMAÇÃO;SEP. CACAU;CACAU
57;TT-00050;PROGRAMAÇÃO;CONT. PK1;INVENTÁRIO
59;TT-00052;PROGRAMAÇÃO;REC. IMPORTADO;RECEBIMENTO
60;TT-00053;PROGRAMAÇÃO;REC. D2;RECEBIMENTO
63;TT-00056;PROGRAMAÇÃO;REC. IMPORTADO;RECEBIMENTO
64;TT-00057;PROGRAMAÇÃO;SEP. CACAU;CACAU
64;TT-00057;TRANSPORTADORA;PROPRIO;PRÓPRIO
65;TT-00058;PROGRAMAÇÃO;REC. BR15;RECEBIMENTO
65;TT-00058;TRANSPORTADORA;PROPRIO;PRÓPRIO
67;TT-00060;PROGRAMAÇÃO;REC. D2;RECEBIMENTO
68;TT-00061;TRANSPORTADORA;PROPRIO;PRÓPRIO
69;TT-00062;TRANSPORTADORA;PROPRIO;PRÓPRIO
70;TT-00063;TRANSPORTADORA;PROPRIO;PRÓPRIO
71;TT-00064;TRANSPORTADORA;PROPRIO;PRÓPRIO
72;TT-00065;TRANSPORTADORA;PROPRIO;PRÓPRIO
74;TT-00067;TRANSPORTADORA;PROPRIO;PRÓPRIO
75;TT-00068;TRANSPORTADORA;PROPRIO;PRÓPRIO
76;TT-00069;TRANSPORTADORA;PROPRIO;PRÓPRIO
82;TT-00075;TRANSPORTADORA;PROPRIO;PRÓPRIO
83;TT-00076;TRANSPORTADORA;PROPRIO;PRÓPRIO
91;TT-00084;PROGRAMAÇÃO;REC. D2;RECEBIMENTO
92;TT-00085;PROGRAMAÇÃO;REC. IMPORTADO;RECEBIMENTO
94;TT-00087;PROGRAMAÇÃO;ABASTECIMENTO PK1;ABASTECIMENTO
97;TT-00090;TRANSPORTADORA;PROPRIO;PRÓPRIO
98;TT-00091;TRANSPORTADORA;PROPRIO;PRÓPRIO
132;TT-00125;PROGRAMAÇÃO;FLOOR / RECEB. CACAU;FLOOR
133;TT-00126;PROGRAMAÇÃO;CONTAGENS PK1;INVENTÁRIO
134;TT-00127;TRANSPORTADORA;PROPRIO;PRÓPRIO
135;TT-00128;TRANSPORTADORA;PROPRIO;PRÓPRIO
136;TT-00129;TRANSPORTADORA;PROPRIO;PRÓPRIO
138;TT-00131;PROGRAMAÇÃO;RECEB CACAU;RECEBIMENTO
139;TT-00132;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
140;TT-00133;TRANSPORTADORA;PROPRIO;PRÓPRIO
141;TT-00134;TRANSPORTADORA;PROPRIO;PRÓPRIO
142;TT-00135;TRANSPORTADORA;PROPRIO;PRÓPRIO
143;TT-00136;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
144;TT-00137;TRANSPORTADORA;EPEEDYLOG;SPEEDYLOG
145;TT-00138;PROGRAMAÇÃO;TRANSF;TRANSFERÊNCIA
146;TT-00139;TRANSPORTADORA;PROPRIO;PRÓPRIO
147;TT-00140;TRANSPORTADORA;PROPRIO;PRÓPRIO
148;TT-00141;TRANSPORTADORA;PROPRIO;PRÓPRIO
